"contID","ko","contig","rank","taxid","score"
"ko\:K00001\:contig00300","K00001","contig00300","o","112",78
"ko\:K00001\:contig00300","K00001","contig00300","f","126",78
"ko\:K00001\:contig00300","K00001","contig00300","g","265488",78
"ko\:K00001\:contig00300","K00001","contig00300","s","265606",44
"ko\:K00001\:contig00301","K00001","contig00301","k","2",100
"ko\:K00001\:contig00301","K00001","contig00301","p","203682",54
"ko\:K00001\:contig00301","K00001","contig00301","c","203683",54
"ko\:K00001\:contig00301","K00001","contig00301","o","112",54
"ko\:K00001\:contig00301","K00001","contig00301","f","126",54
"ko\:K00001\:contig00301","K00001","contig00301","g","265488",54
"ko\:K00001\:contig00301","K00001","contig00301","s","265606",31
"ko\:K00001\:contig00302","K00001","contig00302","k","2",100
"ko\:K00001\:contig00302","K00001","contig00302","p","1224",68
"ko\:K00001\:contig00302","K00001","contig00302","c","28216",28
"ko\:K00001\:contig00302","K00001","contig00302","o","80840",24
"ko\:K00001\:contig00302","K00001","contig00302","f","119060",20
"ko\:K00001\:contig00302","K00001","contig00302","g","32008",16
"ko\:K00001\:contig00302","K00001","contig00302","s","28092",4
"ko\:K00001\:contig00303","K00001","contig00303","k","2",100
"ko\:K00001\:contig00303","K00001","contig00303","p","1224",84
"ko\:K00001\:contig00303","K00001","contig00303","c","1236",84
"ko\:K00001\:contig00303","K00001","contig00303","o","135624",64
"ko\:K00001\:contig00303","K00001","contig00303","f","84642",64
"ko\:K00001\:contig00303","K00001","contig00303","g","642",64
"ko\:K00001\:contig00303","K00001","contig00303","s","644",20
"ko\:K00001\:contig00304","K00001","contig00304","k","2",100
"ko\:K00001\:contig00304","K00001","contig00304","p","1224",88
"ko\:K00001\:contig00304","K00001","contig00304","c","28211",68
"ko\:K00001\:contig00304","K00001","contig00304","o","356",44
"ko\:K00001\:contig00304","K00001","contig00304","f","82115",36
"ko\:K00001\:contig00304","K00001","contig00304","g","28105",20
"ko\:K00001\:contig00304","K00001","contig00304","s","382",20
"ko\:K00001\:contig00305","K00001","contig00305","k","2",96
"ko\:K00001\:contig00305","K00001","contig00305","p","1224",80
"ko\:K00001\:contig00305","K00001","contig00305","c","28211",72
"ko\:K00001\:contig00305","K00001","contig00305","o","356",36
"ko\:K00001\:contig00305","K00001","contig00305","f","82115",24
"ko\:K00001\:contig00305","K00001","contig00305","g","357",12
"ko\:K00001\:contig00305","K00001","contig00305","s","1183400",8
"ko\:K00001\:contig00305","K00001","contig00305","s","1176649",4
"ko\:K00001\:contig00306","K00001","contig00306","k","2",100
"ko\:K00001\:contig00306","K00001","contig00306","p","1224",100
"ko\:K00001\:contig00306","K00001","contig00306","c","1236",84
"ko\:K00001\:contig00306","K00001","contig00306","o","72274",44
"ko\:K00001\:contig00306","K00001","contig00306","f","135621",44
"ko\:K00001\:contig00306","K00001","contig00306","g","286",44
"ko\:K00001\:contig00306","K00001","contig00306","s","136849",16
"ko\:K00001\:contig00306","K00001","contig00306","s","50340",8
"ko\:K00001\:contig00307","K00001","contig00307","k","2",100
"ko\:K00001\:contig00307","K00001","contig00307","p","976",64
"ko\:K00001\:contig00307","K00001","contig00307","c","768503",44
"ko\:K00001\:contig00307","K00001","contig00307","o","768507",44
"ko\:K00001\:contig00307","K00001","contig00307","f","563798",36
"ko\:K00001\:contig00307","K00001","contig00307","g","246875",16
"ko\:K00001\:contig00307","K00001","contig00307","s","388413",4
"ko\:K00001\:contig00308","K00001","contig00308","k","2",100
"ko\:K00001\:contig00308","K00001","contig00308","p","1224",100
"ko\:K00001\:contig00308","K00001","contig00308","c","28216",44
"ko\:K00001\:contig00308","K00001","contig00308","o","80840",40
"ko\:K00001\:contig00308","K00001","contig00308","f","75682",24
"ko\:K00001\:contig00308","K00001","contig00308","g","963",24
"ko\:K00001\:contig00308","K00001","contig00308","s","92645",4
"ko\:K00001\:contig00309","K00001","contig00309","k","2",100
"ko\:K00001\:contig00309","K00001","contig00309","p","1224",100
"ko\:K00001\:contig00309","K00001","contig00309","c","28216",96
"ko\:K00001\:contig00309","K00001","contig00309","o","80840",96
"ko\:K00001\:contig00309","K00001","contig00309","f","119060",88
"ko\:K00001\:contig00309","K00001","contig00309","g","106589",60
"ko\:K00001\:contig00309","K00001","contig00309","s","164546",12
"ko\:K00001\:contig00310","K00001","contig00310","k","2",100
"ko\:K00001\:contig00310","K00001","contig00310","p","1224",100
"ko\:K00001\:contig00310","K00001","contig00310","c","28211",50
"ko\:K00001\:contig00310","K00001","contig00310","o","356",50
"ko\:K00001\:contig00310","K00001","contig00310","f","69277",50
"ko\:K00001\:contig00310","K00001","contig00310","g","245876",50
"ko\:K00001\:contig00310","K00001","contig00310","s","721133",50
"ko\:K00001\:contig00311","K00001","contig00311","k","2",100
"ko\:K00001\:contig00311","K00001","contig00311","p","1224",100
"ko\:K00001\:contig00311","K00001","contig00311","c","1236",100
"ko\:K00001\:contig00311","K00001","contig00311","o","135622",72
"ko\:K00001\:contig00311","K00001","contig00311","f","72275",72
"ko\:K00001\:contig00311","K00001","contig00311","g","2742",72
"ko\:K00001\:contig00311","K00001","contig00311","s","209639",8
"ko\:K00001\:contig00312","K00001","contig00312","k","2",100
"ko\:K00001\:contig00312","K00001","contig00312","p","1224",100
"ko\:K00001\:contig00312","K00001","contig00312","c","28216",61
"ko\:K00001\:contig00312","K00001","contig00312","o","80840",61
"ko\:K00001\:contig00312","K00001","contig00312","f","506",48
"ko\:K00001\:contig00312","K00001","contig00312","g","517",35
"ko\:K00001\:contig00312","K00001","contig00312","s","518",17
"ko\:K00001\:contig00313","K00001","contig00313","k","2",100
"ko\:K00001\:contig00313","K00001","contig00313","p","976",80
"ko\:K00001\:contig00313","K00001","contig00313","c","200643",80
"ko\:K00001\:contig00313","K00001","contig00313","o","171549",80
"ko\:K00001\:contig00313","K00001","contig00313","f","815",72
"ko\:K00001\:contig00313","K00001","contig00313","g","816",72
"ko\:K00001\:contig00313","K00001","contig00313","s","1263040",4
"ko\:K00001\:contig00314","K00001","contig00314","k","2",100
"ko\:K00001\:contig00314","K00001","contig00314","p","1224",100
"ko\:K00001\:contig00314","K00001","contig00314","c","28221",100
"ko\:K00001\:contig00314","K00001","contig00314","o","29",100
"ko\:K00001\:contig00314","K00001","contig00314","f","39",100
"ko\:K00001\:contig00314","K00001","contig00314","g","224455",100
"ko\:K00001\:contig00314","K00001","contig00314","s","394096",100
"ko\:K00001\:contig00315","K00001","contig00315","k","2",100
"ko\:K00001\:contig00315","K00001","contig00315","p","1224",100
"ko\:K00001\:contig00315","K00001","contig00315","c","28211",100
"ko\:K00001\:contig00315","K00001","contig00315","o","356",100
"ko\:K00001\:contig00315","K00001","contig00315","f","41294",100
"ko\:K00001\:contig00315","K00001","contig00315","g","374",64
"ko\:K00001\:contig00315","K00001","contig00315","s","375",32
"ko\:K00001\:contig00316","K00001","contig00316","k","2",96
"ko\:K00001\:contig00316","K00001","contig00316","p","1224",84
"ko\:K00001\:contig00316","K00001","contig00316","c","28211",60
"ko\:K00001\:contig00316","K00001","contig00316","o","356",32
"ko\:K00001\:contig00316","K00001","contig00316","f","82115",16
"ko\:K00001\:contig00316","K00001","contig00316","g","379",12
"ko\:K00001\:contig00316","K00001","contig00316","s","136996",4
"ko\:K00001\:contig00317","K00001","contig00317","k","2",100
"ko\:K00001\:contig00317","K00001","contig00317","p","1239",60
"ko\:K00001\:contig00317","K00001","contig00317","c","91061",60
"ko\:K00001\:contig00317","K00001","contig00317","o","1385",60
"ko\:K00001\:contig00317","K00001","contig00317","f","90964",24
"ko\:K00001\:contig00317","K00001","contig00317","g","1279",24
"ko\:K00001\:contig00317","K00001","contig00317","s","1280",4
"ko\:K00001\:contig00318","K00001","contig00318","k","2",100
"ko\:K00001\:contig00318","K00001","contig00318","p","1224",100
"ko\:K00001\:contig00318","K00001","contig00318","c","28211",100
"ko\:K00001\:contig00318","K00001","contig00318","o","356",100
"ko\:K00001\:contig00318","K00001","contig00318","f","82115",100
"ko\:K00001\:contig00318","K00001","contig00318","g","379",88
"ko\:K00001\:contig00318","K00001","contig00318","s","384",40
"ko\:K00001\:contig00319","K00001","contig00319","k","2",100
"ko\:K00001\:contig00319","K00001","contig00319","p","1224",100
"ko\:K00001\:contig00319","K00001","contig00319","c","28216",96
"ko\:K00001\:contig00319","K00001","contig00319","o","206389",60
"ko\:K00001\:contig00319","K00001","contig00319","f","75787",60
"ko\:K00001\:contig00319","K00001","contig00319","g","33057",28
"ko\:K00001\:contig00319","K00001","contig00319","s","76112",4
"ko\:K00001\:contig00320","K00001","contig00320","k","2",100
"ko\:K00001\:contig00320","K00001","contig00320","p","976",57
"ko\:K00001\:contig00320","K00001","contig00320","c","768503",43
"ko\:K00001\:contig00320","K00001","contig00320","o","768507",43
"ko\:K00001\:contig00320","K00001","contig00320","f","89373",43
"ko\:K00001\:contig00320","K00001","contig00320","g","107",29
"ko\:K00001\:contig00320","K00001","contig00320","s","496058",14
"ko\:K00001\:contig00321","K00001","contig00321","k","2",100
"ko\:K00001\:contig00321","K00001","contig00321","p","976",57
"ko\:K00001\:contig00321","K00001","contig00321","c","768503",38
"ko\:K00001\:contig00321","K00001","contig00321","o","768507",38
"ko\:K00001\:contig00321","K00001","contig00321","f","563798",29
"ko\:K00001\:contig00321","K00001","contig00321","g","246875",19
"ko\:K00001\:contig00321","K00001","contig00321","s","388413",5
"ko\:K00001\:contig00322","K00001","contig00322","k","2",100
"ko\:K00001\:contig00322","K00001","contig00322","p","203682",88
"ko\:K00001\:contig00322","K00001","contig00322","c","203683",88
"ko\:K00001\:contig00322","K00001","contig00322","o","112",88
"ko\:K00001\:contig00322","K00001","contig00322","f","126",88
"ko\:K00001\:contig00322","K00001","contig00322","g","265488",88
"ko\:K00001\:contig00322","K00001","contig00322","s","265606",50
"ko\:K00001\:contig00323","K00001","contig00323","k","2",100
"ko\:K00001\:contig00323","K00001","contig00323","p","203682",78
"ko\:K00001\:contig00323","K00001","contig00323","c","203683",78
"ko\:K00001\:contig00323","K00001","contig00323","o","112",78
"ko\:K00001\:contig00323","K00001","contig00323","f","126",78
"ko\:K00001\:contig00323","K00001","contig00323","g","265488",78
"ko\:K00001\:contig00323","K00001","contig00323","s","265606",44
"ko\:K00001\:contig00324","K00001","contig00324","k","2",100
"ko\:K00001\:contig00324","K00001","contig00324","p","1224",100
"ko\:K00001\:contig00324","K00001","contig00324","c","28216",50
"ko\:K00001\:contig00324","K00001","contig00324","g","327159",36
"ko\:K00001\:contig00324","K00001","contig00324","s","327160",7
"ko\:K00001\:contig00325","K00001","contig00325","k","2",100
"ko\:K00001\:contig00325","K00001","contig00325","p","203682",100
"ko\:K00001\:contig00325","K00001","contig00325","c","203683",100
"ko\:K00001\:contig00325","K00001","contig00325","o","112",100
"ko\:K00001\:contig00325","K00001","contig00325","f","126",100
"ko\:K00001\:contig00325","K00001","contig00325","g","265488",100
"ko\:K00001\:contig00325","K00001","contig00325","s","265606",50
"ko\:K00001\:contig00326","K00001","contig00326","k","2",100
"ko\:K00001\:contig00326","K00001","contig00326","p","1224",53
"ko\:K00001\:contig00326","K00001","contig00326","c","1236",53
"ko\:K00001\:contig00326","K00001","contig00326","o","135624",53
"ko\:K00001\:contig00326","K00001","contig00326","f","84642",53
"ko\:K00001\:contig00326","K00001","contig00326","g","642",53
"ko\:K00001\:contig00326","K00001","contig00326","s","644",35
"ko\:K00001\:contig00327","K00001","contig00327","k","2",100
"ko\:K00001\:contig00327","K00001","contig00327","p","1224",100
"ko\:K00001\:contig00327","K00001","contig00327","c","28211",100
"ko\:K00001\:contig00327","K00001","contig00327","o","356",100
"ko\:K00001\:contig00327","K00001","contig00327","f","41294",100
"ko\:K00001\:contig00327","K00001","contig00327","g","374",76
"ko\:K00001\:contig00327","K00001","contig00327","s","375",8
"ko\:K00001\:contig00328","K00001","contig00328","k","2",100
"ko\:K00001\:contig00328","K00001","contig00328","p","1224",100
"ko\:K00001\:contig00328","K00001","contig00328","c","28211",100
"ko\:K00001\:contig00328","K00001","contig00328","o","356",100
"ko\:K00001\:contig00328","K00001","contig00328","f","82115",87
"ko\:K00001\:contig00328","K00001","contig00328","g","28105",39
"ko\:K00001\:contig00328","K00001","contig00328","s","382",22
"ko\:K00001\:contig00329","K00001","contig00329","k","2",100
"ko\:K00001\:contig00329","K00001","contig00329","p","1224",100
"ko\:K00001\:contig00329","K00001","contig00329","c","28211",100
"ko\:K00001\:contig00329","K00001","contig00329","o","356",100
"ko\:K00001\:contig00329","K00001","contig00329","f","82115",100
"ko\:K00001\:contig00329","K00001","contig00329","g","28105",60
"ko\:K00001\:contig00329","K00001","contig00329","s","382",36
"ko\:K00001\:contig00330","K00001","contig00330","k","2",100
"ko\:K00001\:contig00330","K00001","contig00330","p","1224",100
"ko\:K00001\:contig00330","K00001","contig00330","c","1236",100
"ko\:K00001\:contig00330","K00001","contig00330","o","135622",72
"ko\:K00001\:contig00330","K00001","contig00330","f","72275",72
"ko\:K00001\:contig00330","K00001","contig00330","g","2742",72
"ko\:K00001\:contig00330","K00001","contig00330","s","209639",8
"ko\:K00001\:contig00331","K00001","contig00331","k","2",100
"ko\:K00001\:contig00331","K00001","contig00331","p","1224",100
"ko\:K00001\:contig00331","K00001","contig00331","c","28216",100
"ko\:K00001\:contig00331","K00001","contig00331","o","206389",100
"ko\:K00001\:contig00331","K00001","contig00331","f","75787",100
"ko\:K00001\:contig00331","K00001","contig00331","g","1054211",100
"ko\:K00001\:contig00331","K00001","contig00331","s","748811",100
"ko\:K00001\:contig00332","K00001","contig00332","k","2",100
"ko\:K00001\:contig00332","K00001","contig00332","p","1224",100
"ko\:K00001\:contig00332","K00001","contig00332","c","28216",100
"ko\:K00001\:contig00332","K00001","contig00332","o","80840",88
"ko\:K00001\:contig00332","K00001","contig00332","f","119060",63
"ko\:K00001\:contig00332","K00001","contig00332","g","32008",25
"ko\:K00001\:contig00332","K00001","contig00332","s","1458357",13
"ko\:K00001\:contig00333","K00001","contig00333","k","2",100
"ko\:K00001\:contig00333","K00001","contig00333","p","200795",100
"ko\:K00001\:contig00333","K00001","contig00333","c","32061",100
"ko\:K00001\:contig00333","K00001","contig00333","o","32064",100
"ko\:K00001\:contig00333","K00001","contig00333","f","1508635",67
"ko\:K00001\:contig00333","K00001","contig00333","g","120961",67
"ko\:K00001\:contig00333","K00001","contig00333","s","120962",33
"ko\:K00001\:contig00334","K00001","contig00334","k","2",100
"ko\:K00001\:contig00334","K00001","contig00334","p","1224",100
"ko\:K00001\:contig00334","K00001","contig00334","c","28216",48
"ko\:K00001\:contig00334","K00001","contig00334","o","80840",48
"ko\:K00001\:contig00334","K00001","contig00334","f","119060",48
"ko\:K00001\:contig00334","K00001","contig00334","g","32008",44
"ko\:K00001\:contig00334","K00001","contig00334","s","87882",36
"ko\:K00001\:contig00334","K00001","contig00334","s","87883",24
"ko\:K00001\:contig00335","K00001","contig00335","k","2",100
"ko\:K00001\:contig00335","K00001","contig00335","p","203682",83
"ko\:K00001\:contig00335","K00001","contig00335","c","203683",83
"ko\:K00001\:contig00335","K00001","contig00335","o","112",83
"ko\:K00001\:contig00335","K00001","contig00335","f","126",83
"ko\:K00001\:contig00335","K00001","contig00335","g","265488",50
"ko\:K00001\:contig00335","K00001","contig00335","s","265606",33
"ko\:K00001\:contig00336","K00001","contig00336","k","2",100
"ko\:K00001\:contig00336","K00001","contig00336","p","1224",96
"ko\:K00001\:contig00336","K00001","contig00336","c","28211",92
"ko\:K00001\:contig00336","K00001","contig00336","o","356",92
"ko\:K00001\:contig00336","K00001","contig00336","f","82115",92
"ko\:K00001\:contig00336","K00001","contig00336","g","28105",52
"ko\:K00001\:contig00336","K00001","contig00336","s","382",24
"ko\:K00001\:contig00337","K00001","contig00337","k","2",100
"ko\:K00001\:contig00337","K00001","contig00337","p","976",59
"ko\:K00001\:contig00337","K00001","contig00337","c","768503",36
"ko\:K00001\:contig00337","K00001","contig00337","o","768507",36
"ko\:K00001\:contig00337","K00001","contig00337","f","563798",27
"ko\:K00001\:contig00337","K00001","contig00337","g","246875",18
"ko\:K00001\:contig00337","K00001","contig00337","s","388413",5
"ko\:K00001\:contig00338","K00001","contig00338","k","2",100
"ko\:K00001\:contig00338","K00001","contig00338","p","201174",100
"ko\:K00001\:contig00338","K00001","contig00338","c","1760",100
"ko\:K00001\:contig00338","K00001","contig00338","o","2037",100
"ko\:K00001\:contig00338","K00001","contig00338","f","1762",100
"ko\:K00001\:contig00338","K00001","contig00338","g","1763",100
"ko\:K00001\:contig00338","K00001","contig00338","s","77643",92
"ko\:K00001\:contig00338","K00001","contig00338","s","1773",64
"ko\:K00001\:contig00339","K00001","contig00339","k","2",100
"ko\:K00001\:contig00339","K00001","contig00339","p","1224",100
"ko\:K00001\:contig00339","K00001","contig00339","c","28216",88
"ko\:K00001\:contig00339","K00001","contig00339","o","80840",68
"ko\:K00001\:contig00339","K00001","contig00339","f","506",56
"ko\:K00001\:contig00339","K00001","contig00339","g","517",56
"ko\:K00001\:contig00339","K00001","contig00339","s","518",48
"ko\:K00001\:contig00340","K00001","contig00340","k","2",100
"ko\:K00001\:contig00340","K00001","contig00340","p","1224",100
"ko\:K00001\:contig00340","K00001","contig00340","c","1236",64
"ko\:K00001\:contig00340","K00001","contig00340","o","72274",60
"ko\:K00001\:contig00340","K00001","contig00340","f","135621",60
"ko\:K00001\:contig00340","K00001","contig00340","g","286",60
"ko\:K00001\:contig00340","K00001","contig00340","s","136842",28
"ko\:K00001\:contig00340","K00001","contig00340","s","587753",28
"ko\:K00001\:contig00341","K00001","contig00341","k","2",100
"ko\:K00001\:contig00341","K00001","contig00341","p","1224",88
"ko\:K00001\:contig00341","K00001","contig00341","c","28211",52
"ko\:K00001\:contig00341","K00001","contig00341","o","356",32
"ko\:K00001\:contig00341","K00001","contig00341","f","82115",24
"ko\:K00001\:contig00341","K00001","contig00341","g","379",12
"ko\:K00001\:contig00341","K00001","contig00341","s","136996",4
"ko\:K00001\:contig00342","K00001","contig00342","k","2",100
"ko\:K00001\:contig00342","K00001","contig00342","p","1224",100
"ko\:K00001\:contig00342","K00001","contig00342","c","1236",67
"ko\:K00001\:contig00342","K00001","contig00342","o","135618",50
"ko\:K00001\:contig00342","K00001","contig00342","f","403",50
"ko\:K00001\:contig00342","K00001","contig00342","g","39773",22
"ko\:K00001\:contig00342","K00001","contig00342","s","39774",6
"ko\:K00001\:contig00343","K00001","contig00343","k","2",100
"ko\:K00001\:contig00343","K00001","contig00343","p","1224",100
"ko\:K00001\:contig00343","K00001","contig00343","c","1236",68
"ko\:K00001\:contig00343","K00001","contig00343","o","135619",40
"ko\:K00001\:contig00343","K00001","contig00343","f","28256",32
"ko\:K00001\:contig00343","K00001","contig00343","g","2745",32
"ko\:K00001\:contig00343","K00001","contig00343","s","223527",4
"ko\:K00001\:contig00344","K00001","contig00344","k","2",100
"ko\:K00001\:contig00344","K00001","contig00344","p","201174",60
"ko\:K00001\:contig00344","K00001","contig00344","c","1760",60
"ko\:K00001\:contig00344","K00001","contig00344","o","2037",60
"ko\:K00001\:contig00344","K00001","contig00344","f","28056",24
"ko\:K00001\:contig00344","K00001","contig00344","g","168694",24
"ko\:K00001\:contig00344","K00001","contig00344","s","351187",8
"ko\:K00001\:contig00345","K00001","contig00345","k","2",100
"ko\:K00001\:contig00345","K00001","contig00345","p","1224",100
"ko\:K00001\:contig00345","K00001","contig00345","c","1236",100
"ko\:K00001\:contig00345","K00001","contig00345","f","1400857",100
"ko\:K00001\:contig00345","K00001","contig00345","g","221279",50
"ko\:K00001\:contig00345","K00001","contig00345","s","1400862",50
"ko\:K00001\:contig00346","K00001","contig00346","k","2",96
"ko\:K00001\:contig00346","K00001","contig00346","p","1224",92
"ko\:K00001\:contig00346","K00001","contig00346","c","28211",64
"ko\:K00001\:contig00346","K00001","contig00346","o","356",28
"ko\:K00001\:contig00346","K00001","contig00346","f","82115",24
"ko\:K00001\:contig00346","K00001","contig00346","g","357",12
"ko\:K00001\:contig00346","K00001","contig00346","s","1183400",8
"ko\:K00001\:contig00346","K00001","contig00346","s","1176649",4
"ko\:K00001\:contig00347","K00001","contig00347","k","2",100
"ko\:K00001\:contig00347","K00001","contig00347","p","1224",36
"ko\:K00001\:contig00347","K00001","contig00347","c","28211",32
"ko\:K00001\:contig00347","K00001","contig00347","o","356",12
"ko\:K00001\:contig00347","K00001","contig00347","f","255475",4
"ko\:K00001\:contig00347","K00001","contig00347","g","414371",4
"ko\:K00001\:contig00347","K00001","contig00347","s","401562",4
"ko\:K00001\:contig00348","K00001","contig00348","k","2",100
"ko\:K00001\:contig00348","K00001","contig00348","p","1224",88
"ko\:K00001\:contig00348","K00001","contig00348","c","1236",56
"ko\:K00001\:contig00348","K00001","contig00348","o","135619",36
"ko\:K00001\:contig00348","K00001","contig00348","f","28256",36
"ko\:K00001\:contig00348","K00001","contig00348","g","2745",36
"ko\:K00001\:contig00348","K00001","contig00348","s","223527",4
"ko\:K00001\:contig00349","K00001","contig00349","k","2",100
"ko\:K00001\:contig00349","K00001","contig00349","p","1224",100
"ko\:K00001\:contig00349","K00001","contig00349","c","1236",40
"ko\:K00001\:contig00349","K00001","contig00349","o","135618",20
"ko\:K00001\:contig00349","K00001","contig00349","f","403",20
"ko\:K00001\:contig00349","K00001","contig00349","g","39773",8
"ko\:K00001\:contig00349","K00001","contig00349","s","39774",4
"ko\:K00001\:contig00350","K00001","contig00350","k","2",100
"ko\:K00001\:contig00350","K00001","contig00350","p","1224",100
"ko\:K00001\:contig00350","K00001","contig00350","c","28211",100
"ko\:K00001\:contig00350","K00001","contig00350","o","356",100
"ko\:K00001\:contig00350","K00001","contig00350","f","82115",85
"ko\:K00001\:contig00350","K00001","contig00350","g","28105",40
"ko\:K00001\:contig00350","K00001","contig00350","s","382",25
"ko\:K00001\:contig00351","K00001","contig00351","k","2",100
"ko\:K00001\:contig00351","K00001","contig00351","p","1224",96
"ko\:K00001\:contig00351","K00001","contig00351","c","1236",96
"ko\:K00001\:contig00351","K00001","contig00351","o","135624",96
"ko\:K00001\:contig00351","K00001","contig00351","f","84642",96
"ko\:K00001\:contig00351","K00001","contig00351","g","642",96
"ko\:K00001\:contig00351","K00001","contig00351","s","644",40
"ko\:K00001\:contig00352","K00001","contig00352","k","2",100
"ko\:K00001\:contig00352","K00001","contig00352","p","1224",100
"ko\:K00001\:contig00352","K00001","contig00352","c","28216",100
"ko\:K00001\:contig00352","K00001","contig00352","o","206389",100
"ko\:K00001\:contig00352","K00001","contig00352","f","75787",100
"ko\:K00001\:contig00352","K00001","contig00352","g","12960",100
"ko\:K00001\:contig00352","K00001","contig00352","s","62928",100
"ko\:K00001\:contig00353","K00001","contig00353","k","2",100
"ko\:K00001\:contig00353","K00001","contig00353","p","57723",100
"ko\:K00001\:contig00353","K00001","contig00353","c","204432",50
"ko\:K00001\:contig00353","K00001","contig00353","o","204433",50
"ko\:K00001\:contig00353","K00001","contig00353","f","204434",50
"ko\:K00001\:contig00353","K00001","contig00353","s","1267535",50
"ko\:K00001\:contig00354","K00001","contig00354","k","2",100
"ko\:K00001\:contig00354","K00001","contig00354","p","201174",100
"ko\:K00001\:contig00354","K00001","contig00354","c","1760",100
"ko\:K00001\:contig00354","K00001","contig00354","o","2037",92
"ko\:K00001\:contig00354","K00001","contig00354","f","2062",83
"ko\:K00001\:contig00354","K00001","contig00354","g","1883",83
"ko\:K00001\:contig00354","K00001","contig00354","s","1930",17
"ko\:K00001\:contig00355","K00001","contig00355","k","2",100
"ko\:K00001\:contig00355","K00001","contig00355","p","57723",100
"ko\:K00001\:contig00355","K00001","contig00355","c","204432",50
"ko\:K00001\:contig00355","K00001","contig00355","o","204433",50
"ko\:K00001\:contig00355","K00001","contig00355","f","204434",50
"ko\:K00001\:contig00355","K00001","contig00355","s","1267535",50
"ko\:K00001\:contig00356","K00001","contig00356","k","2",100
"ko\:K00001\:contig00356","K00001","contig00356","p","201174",100
"ko\:K00001\:contig00356","K00001","contig00356","c","1760",100
"ko\:K00001\:contig00356","K00001","contig00356","o","2037",100
"ko\:K00001\:contig00356","K00001","contig00356","f","1762",100
"ko\:K00001\:contig00356","K00001","contig00356","g","1763",100
"ko\:K00001\:contig00356","K00001","contig00356","s","77643",80
"ko\:K00001\:contig00356","K00001","contig00356","s","1773",68
"ko\:K00001\:contig00357","K00001","contig00357","k","2",100
"ko\:K00001\:contig00357","K00001","contig00357","p","57723",100
"ko\:K00001\:contig00357","K00001","contig00357","c","204432",50
"ko\:K00001\:contig00357","K00001","contig00357","o","204433",50
"ko\:K00001\:contig00357","K00001","contig00357","f","204434",50
"ko\:K00001\:contig00357","K00001","contig00357","s","1267535",50
"ko\:K00001\:contig00358","K00001","contig00358","k","2",100
"ko\:K00001\:contig00358","K00001","contig00358","p","203682",50
"ko\:K00001\:contig00358","K00001","contig00358","c","203683",50
"ko\:K00001\:contig00358","K00001","contig00358","o","112",50
"ko\:K00001\:contig00358","K00001","contig00358","f","126",50
"ko\:K00001\:contig00358","K00001","contig00358","g","265488",44
"ko\:K00001\:contig00358","K00001","contig00358","s","265606",25
"ko\:K00001\:contig00359","K00001","contig00359","k","2",100
"ko\:K00001\:contig00359","K00001","contig00359","p","1224",100
"ko\:K00001\:contig00359","K00001","contig00359","c","28211",100
"ko\:K00001\:contig00359","K00001","contig00359","o","356",60
"ko\:K00001\:contig00359","K00001","contig00359","f","118882",20
"ko\:K00001\:contig00359","K00001","contig00359","g","528",20
"ko\:K00001\:contig00359","K00001","contig00359","s","529",8
"ko\:K00001\:contig00361","K00001","contig00361","k","2",100
"ko\:K00001\:contig00361","K00001","contig00361","p","1239",56
"ko\:K00001\:contig00361","K00001","contig00361","c","186801",56
"ko\:K00001\:contig00361","K00001","contig00361","o","186802",36
"ko\:K00001\:contig00361","K00001","contig00361","f","31979",16
"ko\:K00001\:contig00361","K00001","contig00361","g","1485",16
"ko\:K00001\:contig00361","K00001","contig00361","s","319475",4
"ko\:K00001\:contig00362","K00001","contig00362","k","2",100
"ko\:K00001\:contig00362","K00001","contig00362","p","1224",100
"ko\:K00001\:contig00362","K00001","contig00362","c","1236",100
"ko\:K00001\:contig00362","K00001","contig00362","o","72274",100
"ko\:K00001\:contig00362","K00001","contig00362","f","468",100
"ko\:K00001\:contig00362","K00001","contig00362","g","469",96
"ko\:K00001\:contig00362","K00001","contig00362","s","909768",8
"ko\:K00001\:contig00362","K00001","contig00362","s","470",8
"ko\:K00001\:contig00363","K00001","contig00363","k","2",100
"ko\:K00001\:contig00363","K00001","contig00363","p","203682",90
"ko\:K00001\:contig00363","K00001","contig00363","c","203683",90
"ko\:K00001\:contig00363","K00001","contig00363","o","112",90
"ko\:K00001\:contig00363","K00001","contig00363","f","126",90
"ko\:K00001\:contig00363","K00001","contig00363","g","265488",80
"ko\:K00001\:contig00363","K00001","contig00363","s","265606",40
"ko\:K00001\:contig00364","K00001","contig00364","k","2",100
"ko\:K00001\:contig00364","K00001","contig00364","p","976",75
"ko\:K00001\:contig00364","K00001","contig00364","c","768503",25
"ko\:K00001\:contig00364","K00001","contig00364","o","768507",25
"ko\:K00001\:contig00364","K00001","contig00364","f","89373",25
"ko\:K00001\:contig00364","K00001","contig00364","g","978",25
"ko\:K00001\:contig00364","K00001","contig00364","s","985",25
"ko\:K00001\:contig00365","K00001","contig00365","k","2",100
"ko\:K00001\:contig00365","K00001","contig00365","p","1224",100
"ko\:K00001\:contig00365","K00001","contig00365","c","28216",100
"ko\:K00001\:contig00365","K00001","contig00365","o","32003",100
"ko\:K00001\:contig00365","K00001","contig00365","f","206379",100
"ko\:K00001\:contig00365","K00001","contig00365","g","914",100
"ko\:K00001\:contig00365","K00001","contig00365","s","915",33
"ko\:K00001\:contig00366","K00001","contig00366","k","2",100
